["!anon4173", "103.4.165.26"]
["#diki", "180.251.85.82"]
["rizqiaf", "36.72.175.235"]
["!anon6349", "180.252.111.160"]
["!anon3797", "114.79.63.34"]
["#bolehrequestgak", "36.76.5.20"]
["!anon4271", "36.68.116.40"]
["!anon6799", "125.164.88.110"]
["#inoe", "36.80.6.154"]
["!anon3417", ""]
["!anon6955", "202.67.46.18"]
["!anon4279", "206.190.158.75"]
["#manusia", "111.94.204.98"]
["!anon7493", "125.160.241.242"]
["#syafa", "36.75.57.18"]
["#noanonymous", "36.83.131.41"]
["!anon2267", "139.194.42.127"]
["!anon8261", "36.71.234.177"]
["agymardiana", "36.74.206.64"]
["!anon0070", "36.68.42.40"]
["!anon3150", "111.95.144.182"]
["#fransdeboiz", "120.191.248.190"]
["!anon6009", "223.255.229.9"]
["!anon7290", "180.251.15.25"]
["kirikun00", "120.173.94.134"]
["#koko", "36.71.178.39"]
["!anon9960", "36.81.146.214"]
["#den", "36.80.166.130"]
["!anon8090", "125.165.1.237"]
["darkmatrixx", "36.75.57.18"]
["#andromeda", "36.71.190.71"]
["!anon7243", "95.186.169.250"]
["!anon6615", "125.163.114.72"]
["redwings12", "36.77.50.236"]
["!anon9910", "36.68.126.232"]
["!anon4367", "180.252.85.204"]
["!anon2815", "36.71.138.175"]
["kikiandriana94", "114.79.12.49"]
["!anon8134", "125.164.8.3"]
["mbohentekjenenge", "202.62.17.246"]
["!anon2141", "180.253.248.4"]
["#secto", "202.67.34.29"]
["#hahalucucu", "36.69.175.233"]
["teddy11211", "202.62.16.255"]
["!anon7791", "36.76.4.51"]
["evenskun", "139.195.99.104"]
["!anon7474", "36.70.24.179"]
["!anon2727", "139.193.12.43"]
["!anon3604", "180.244.72.223"]
["#animekudottv", ""]
["!anon0044", "36.74.88.124"]
["andho123", "202.67.43.44"]
["!anon5321", ""]
["!anon9227", "202.80.216.175"]
["!anon3478", "139.194.42.127"]
["rickyk11", "125.164.148.4"]
["mechabot", "23.95.113.225"]
["!anon9901", "114.141.51.20"]
["#gago", "112.215.63.70"]
["hiro990", "110.77.137.248"]
["jesslyn1234", "5.79.69.113"]
["!anon2732", "36.72.169.63"]
["hikigayakamito", ""]
["#senpai", "61.94.195.21"]
["!anon7238", "36.68.16.163"]
["!anon0994", "202.62.16.7"]
["!anon8257", "36.76.58.223"]
["!anon1786", "140.0.189.121"]
["sawamurateppei", "139.228.55.107"]
["manahan31", "36.84.67.100"]
["kazutokun31", ""]
["!anon0853", "36.72.151.32"]
["!anon5381", "111.94.76.185"]
["hajisky12", "36.76.210.145"]
["#pigbabi", "111.95.169.193"]
["#oppaidaisuki", "103.15.240.88"]
["denscund", "202.67.44.30"]
["!anon0892", "118.97.186.26"]
["#asd", "36.69.94.247"]
["#madelona", "36.69.186.48"]
["#kakaroto", "118.137.225.6"]
["!anon4057", "180.252.105.149"]
["muhammadridaan00", ""]
["!anon0768", "125.161.64.111"]
["!anon2605", "114.125.172.179"]
["wanto1211", "36.80.219.4"]
["!anon1219", "125.163.172.158"]
["!anon0777", "36.80.6.250"]
["ppcpz", "36.80.34.232"]
["!anon5978", "180.251.233.202"]
["!anon9586", "222.124.117.178"]
["!anon1735", "139.192.241.238"]
["#naruto418", ""]
["!anon0588", "36.72.54.48"]
["!anon5384", "36.72.121.185"]
["!anon2933", "111.94.204.98"]
["!anon8224", "36.79.168.202"]
["honyopyonyot", "114.79.12.232"]
["!anon6232", ""]
["!anon3351", "197.35.128.183"]
["mathewreginald", "180.253.25.39"]
["#bocahingusan", "180.244.164.129"]
["#ndank", "120.181.90.218"]
["meliodasnnt12", "36.69.18.187"]
["!anon0609", "223.255.230.62"]
["valemksmfsm", "36.80.152.180"]
["!anon4617", "36.76.2.205"]
["swartice", "5.254.65.105"]
["iwakpeyeks", "180.248.62.31"]
["!anon2417", "101.255.32.2"]
["!anon5065", "36.68.180.231"]
["!anon2006", "101.255.51.193"]
["!anon1593", "180.248.131.123"]
["!anon0526", "36.81.180.46"]
["#az", "180.244.90.182"]
["!anon0759", "113.212.117.114"]
["pujapajrin", "36.76.52.56"]
["#kodok", "180.253.246.198"]
["onibyinc", "36.78.178.233"]
["!anon6637", "36.77.172.178"]
["cukupboim", "111.95.105.209"]
["!anon9240", "180.252.95.79"]
["shiinamashiro3", "180.251.156.134"]
["!anon6035", "101.255.62.241"]
["#mugiwara21", ""]
["shamanthebeater", "123.231.230.84"]
["enginerarmy", "114.125.10.47"]
["!anon5475", "110.136.243.114"]
["!anon5259", "36.71.161.98"]
["!anon4815", "180.252.126.156"]
["!anon6081", "36.70.80.69"]
["carlosfucan", "125.164.27.211"]
["!anon2078", "36.71.164.228"]
["jonesnyad", "180.248.139.72"]
["!anon9811", "222.124.119.140"]
["!anon8034", "202.80.213.65"]
["!anon1055", "36.80.101.159"]
["!anon8590", "36.75.215.99"]
["wtfshet", "180.246.88.210"]
["#ichigo", "202.150.175.219"]
["kantaisenkan", "36.85.34.186"]
["!anon1517", "112.215.123.211"]
["!anon6066", "36.72.32.12"]
["!anon1535", "185.56.137.11"]
["!anon7813", ""]
["#elinaaaaa", "118.136.44.2"]
["!anon3346", "180.254.245.66"]
["rhaviev", "180.251.35.91"]
["ggusdurrx28", "36.80.77.48"]
["!anon7981", "36.72.148.65"]
["#bonusbuatwibukntl", ""]
["!anon9797", "180.254.156.107"]
["!anon7271", "101.255.94.174"]
["henshinnn", "180.254.92.65"]
["tokyoyamtatoru", "180.251.50.88"]
["!anon4894", "114.124.2.201"]
["#haha", "36.84.67.52"]
["zealotier", "125.161.195.173"]
["#anonanon", "36.72.180.241"]
["#paijo", "111.95.144.228"]
["donquixote97", "125.164.8.192"]
["sakataryu", "36.74.244.64"]
["mfd7", "36.80.108.19"]
["syuharu", "103.47.133.77"]
["!anon2313", "36.84.238.184"]
["zeelensky", "36.75.104.200"]
["!anon6146", "36.79.168.25"]
["!anon5090", "36.77.73.185"]
["!anon7985", "101.255.95.130"]
["!anon5628", "114.79.29.77"]
["!anon5810", "202.62.17.194"]
["triforcehand", "101.255.73.150"]
["!anon7138", "113.212.117.114"]
["!anon6591", "36.70.66.135"]
["!anon1273", "36.77.142.218"]
["!anon6065", "125.160.64.39"]
["theshirozetsu", "54.152.195.33"]
["selahoy", "36.76.192.251"]
["!anon3481", "125.162.58.4"]
["#meong", "180.253.151.189"]
["#coy", "180.251.255.156"]
["!anon4332", "110.138.194.7"]
["#anonyknown", "128.199.241.231"]
["mavis94", "112.215.63.158"]
["!anon9028", "36.72.45.249"]
["!anon8908", "36.72.45.3"]
["happi", "213.64.203.177"]
["!anon4902", "36.79.248.248"]
["!anon4906", "36.79.169.172"]
["#prasetya", "180.252.73.197"]
["reginaldmathew", "180.253.10.147"]
["!anon2603", "101.255.32.2"]
["robikafian313354", "114.79.12.94"]
["tierzliem", "117.20.40.24"]
["!anon8445", "180.214.233.16"]
["kabausirah", "125.160.87.74"]
["!anon0455", "128.199.168.249"]
["!anon1912", "180.248.128.217"]
["animekudottv2", "36.85.101.191"]
["alisair", "36.76.104.140"]
["!anon2495", "180.241.163.137"]
["!anon2024", "202.62.17.83"]
["#sorata", "115.178.250.185"]
["#sukari", ""]
["!anon4329", "103.15.240.88"]
["!anon4142", "125.166.78.85"]
["#dokufandy", "36.77.55.206"]
["!anon2696", "36.69.59.82"]
["#uluululululu", ""]
["!anon0121", "114.121.131.152"]
["misutakurusama", "36.77.57.230"]
["!anon3441", "116.90.211.126"]
["#abanganimeku", "36.73.135.178"]
["#123", "180.245.162.170"]
["!anon4345", "110.232.95.73"]
["#suryano", "36.84.70.209"]
["!anon0257", "36.84.238.39"]
["!anon5987", "36.69.53.72"]
["!anon1950", "36.72.10.4"]
["deathstalker303", ""]
["nagato418", "180.245.53.6"]
["!anon5911", "202.67.32.34"]
["!anon9219", "101.255.32.2"]
["yamamotohunter", "202.73.225.17"]
["rendidoankz", "36.77.94.175"]
["schneewallzer", "119.110.76.146"]
["!anon0687", "113.212.117.114"]
["!anon8640", "110.137.99.40"]
["!anon4296", "36.81.119.234"]
["!anon2239", "111.94.203.135"]
["!anon1465", "180.245.43.198"]
["!anon8107", "114.124.25.110"]
["tokisakikurumiiii", "180.245.53.8"]
["ketoy12", "103.242.104.33"]
["#anonim06", "202.67.35.17"]
["!anon3333", "118.136.236.222"]
["1ng4t01", "36.76.168.130"]
["#soumynona", "180.178.107.230"]
["!anon5417", "36.79.250.17"]
["#mbeee", "112.215.64.199"]
["sanzali", "202.67.45.43"]
["!anon4313", "125.162.201.35"]
["maidchan21", "36.68.6.41"]
["armoredmelonpan", "118.136.161.106"]
["!anon3272", "120.172.177.103"]
["rikzartz", "202.179.189.130"]
["!anon4132", "180.254.249.217"]
["#pocongbatak", "36.68.30.12"]
["!anon3581", "139.192.247.218"]
["!anon9737", "180.244.153.13"]
["#kotor", "180.245.162.170"]
["#xyz", "180.252.34.108"]
["why", "70.51.37.114"]
["!anon7008", ""]
["gurbibal", "36.85.45.218"]
["!anon3999", "36.78.11.120"]
["#bujangke2", "36.72.65.142"]
["!anon7109", "180.251.67.131"]
["hikhari", "202.67.42.33"]
["#kimionakama", "180.246.150.109"]
["dedoap", "103.47.133.82"]
["iloveayat", "125.162.56.84"]
["#rudolfo", "111.95.49.136"]
["sipoi", "36.85.14.24"]
["!anon5165", "36.72.92.21"]
["#initialc", "74.115.6.142"]
["#ggwo", ""]
["gembul56", "222.124.84.234"]
["!anon4311", ""]
["artnarkid", "36.70.36.108"]
["!anon8875", ""]
["!anon1603", "36.68.107.46"]
["#upiltajem", "101.255.94.162"]
["!anon5660", "180.254.159.190"]
["!anon8802", "36.80.99.37"]
["!anon9263", "111.94.187.214"]
["#asdas", "36.85.5.3"]
["!anon6935", "180.246.149.62"]
["#kkk", "36.70.129.6"]
["!anon3781", "36.84.68.215"]
["estlhawliet", "110.137.127.85"]
["andikasetiawan", "36.81.32.46"]
["vivien385", "58.185.178.151"]
["!anon5869", "36.76.49.64"]
["magics09", "180.242.27.82"]
["#mzmisaki", "202.67.33.35"]
["!anon6460", "36.79.173.200"]
["#cowomacho", "36.81.61.146"]
["!anon2169", "112.215.64.115"]
["rudyanikki", "36.68.35.3"]
["#joker", "115.124.74.237"]
["!anon8777", "112.215.64.58"]
["!anon9695", "36.83.21.148"]
["!anon8983", "110.137.194.127"]
["!anon5296", "36.82.211.62"]
["#yuiichan5", "180.248.251.172"]
["atackers08", "110.138.194.7"]
["aeonarc", "128.199.67.81"]
["kazuke01", "36.75.102.156"]
["!anon5313", "112.215.63.145"]
["orchi001", "146.185.30.93"]
["!anon5217", "36.81.32.251"]
["#zk", "36.80.90.193"]
["#nagabaroe", "36.70.71.110"]
["#bee", "180.246.55.168"]
["andyponx", "101.255.74.102"]
["maldini01", "36.77.72.123"]
["!anon2793", "180.252.95.182"]
["!anon4379", "36.71.162.202"]
["!anon6549", "103.47.132.26"]
["wibisana19", "180.246.59.218"]
["piimen", "139.195.96.38"]
["!anon8585", "36.79.169.172"]
["djnanatsu", "36.75.46.113"]
["!anon0846", "36.71.51.153"]
["#6066", "125.161.196.231"]
["#orchi00", "180.253.114.119"]
["!anon8042", "103.233.158.35"]
["#yankjomblo", "36.79.15.193"]
["aseel217", "36.70.226.53"]
["!anon7370", "202.62.17.49"]
["#otong", "125.164.19.126"]
["#berliantoo", "114.124.6.29"]
["!anon6578", "180.254.164.110"]
["ze4rty", "49.213.22.21"]
["deblacklist", "36.84.221.154"]
["gusdur28", "36.80.78.0"]
["!anon4687", ""]
["!anon4431", "198.7.58.97"]
["#loco", "125.163.114.72"]
["!anon2134", "180.241.183.16"]
["!anon6173", "36.76.195.206"]
["!anon0162", "222.124.126.131"]
["auditionnewbie", "103.15.240.88"]
["skysykun", ""]
["#lolox", "125.165.5.59"]
["!anon3662", "180.214.233.70"]
["!anon6601", "125.161.159.114"]
["!anon7095", "180.214.232.6"]
["!anon3118", "36.71.173.245"]
["!anon4149", "36.82.222.213"]
["!anon6036", "111.68.30.196"]
["!anon0737", "202.178.126.195"]
["#ville", "180.245.140.136"]
["!anon1032", "36.72.126.229"]
["gucima", "112.215.64.206"]
["!anon9140", "180.244.153.13"]
["!anon4924", "116.90.211.126"]
["miyazonokaori00", "180.248.35.144"]
["animenc0de", "180.248.6.151"]
["#otip7777", ""]
["!anon8120", "36.83.63.40"]
["mebajing1806", "125.163.98.9"]
["!anon6280", ""]
["!anon8095", "36.81.145.236"]
["!anon4221", "202.178.126.195"]
["#senpai09", "118.137.225.192"]
["annuradja", "180.251.244.62"]
["!anon9913", "36.84.238.39"]
["nhaaaaaaaaa", "36.76.225.68"]
["ceckyourlife", "112.215.64.145"]
["!anon5021", "180.242.8.197"]
["newbyhua", "36.82.40.113"]
["!anon7189", "36.72.148.65"]
["!anon8906", "180.252.123.97"]
["!anon8110", "36.72.5.41"]
["!anon0361", "36.84.238.39"]
["albedo69", "36.84.68.166"]
["!anon3446", "107.170.145.187"]
["!anon3276", ""]
["#heilhitler", ""]
["!anon4012", "36.76.239.83"]
["#gaptex", "188.42.253.27"]
["edipayall2", "125.165.36.96"]
["seihara", "180.254.159.32"]
["yosuandrean88", "125.160.207.227"]
["firdanzah", "36.68.84.210"]
["!anon3338", "223.255.225.68"]
["!anon2626", "36.77.61.81"]
["kazutokojima", "74.103.163.126"]
["!anon8243", "202.62.17.16"]
["#oreaz", "36.77.19.89"]
["yuriozora", "36.75.19.101"]
["!anon7922", "111.95.121.244"]
["!anon7128", "125.163.146.52"]
["!anon7948", "36.85.34.228"]
["#t3t3itu0ppai", "118.137.161.116"]
["rohmatuloh", "110.138.43.93"]
["!anon0150", "103.10.197.194"]
["mirzstory", "36.84.68.187"]
["arifakame", "114.79.32.200"]
["!anon7160", ""]
["theslenderman77", "54.174.197.117"]
["#nightsterrkerz", "202.80.216.195"]
["#v", "110.137.198.46"]
["zouis122", ""]
["winda41", "110.137.203.42"]
["cindesu11", ""]
["!anon4270", "202.67.44.20"]
["!anon3400", "128.199.171.46"]
["!anon1597", "180.243.23.74"]
["!anon2608", "139.0.225.142"]
["!anon6660", "110.138.194.7"]
["josephinezz", "180.251.244.228"]
["!anon3779", "36.81.146.214"]
["!anon9948", "36.72.48.142"]
["!anon1714", "112.215.63.2"]
["!anon5138", "36.72.255.114"]
["#hidariiiiiii", "36.75.26.245"]
["!anon5972", "180.241.225.14"]
["!anon8624", "114.124.25.110"]
["davidgoldy", "36.68.34.31"]
["!anon3845", "112.215.64.22"]
["!anon2363", "180.246.177.128"]
["!anon4025", "36.80.34.209"]
["!anon6582", "114.145.71.165"]
["rikiraku", "36.84.68.163"]
["!anon7386", "36.76.42.151"]
["prosoul321", "36.79.242.27"]
["#wowo", "180.254.167.17"]
["#papapow", "180.247.184.224"]
["naruto7thn", "36.68.88.52"]
["#varell", "36.70.48.210"]
["felsanq", "222.124.76.229"]
["farizelf", "140.0.153.154"]
["ronytamfan1", "202.67.44.18"]
["!anon7677", "36.74.53.227"]
["ayamisama", ""]
["!anon2721", "36.72.32.99"]
["nanatsuno", "202.62.16.158"]
["!anon3064", "180.249.42.68"]
["hideyoshiisatrap", "112.215.44.142"]
["!anon9323", "36.80.40.81"]
["lolokvspepek", "36.75.133.20"]
["!anon9437", "36.76.46.60"]
["bedilz", "139.228.59.51"]
["!anon8381", "112.215.64.177"]
["#doto", "180.253.15.221"]
["!anon0135", "125.162.201.35"]
["dwoel", "111.68.24.210"]
["shireiyu", ""]
["!anon8268", "36.79.173.200"]
["#yukinon", "180.251.11.200"]
["!anon6128", "114.141.51.20"]
["gwsbuatlu", "36.68.1.220"]
["!anon7297", "180.242.31.4"]
["!anon4646", "202.67.33.34"]
["erigami", "110.137.191.99"]
["!anon5012", "36.78.193.84"]
["babytreecko", "71.71.68.139"]
["adiqw", "36.72.187.222"]
["!anon6008", ""]
["!anon3785", "180.251.85.82"]
["hwlemot", ""]
["!anon0480", "36.77.61.81"]
["pakjero", "110.136.229.6"]
["farhan1223", "180.253.22.89"]
["abinfahar", "36.70.230.192"]
["!anon5448", "125.163.233.100"]
["#id", "36.80.146.50"]
["#kekurangan", "115.124.74.237"]
["!anon7673", "36.79.168.25"]
["zulfanexternal", "114.79.32.232"]
["!anon0216", "110.137.122.67"]
["!anon1685", "36.73.149.22"]
["!anon1828", "110.136.132.235"]
["!anon9789", "36.71.163.150"]
["deneuvev", "114.121.235.155"]
["!anon7259", "180.253.104.65"]
["anitavlntn", "180.253.26.38"]
["!anon0319", "114.121.129.188"]
["kingachnologia", "180.252.87.106"]
["!anon2055", "111.95.5.173"]
["007mine", "180.251.27.183"]
["kongou00", "39.252.105.175"]
["ferdinai", "180.254.120.255"]
["!anon9158", "139.195.219.207"]
["kanohkun", "180.248.143.7"]
["jogisc", "114.4.78.205"]
["#starfros", "36.77.49.180"]
["kirahagane", ""]
["!anon8231", "112.215.63.2"]
["#yankdijepit", "125.161.53.108"]
["!anon4171", "36.81.162.137"]
["mizakina789", "139.194.238.125"]
["!anon8818", "36.69.162.180"]
["!anon3948", "125.165.87.117"]
["!anon0261", "36.83.25.62"]
["mzidan21", "223.255.224.114"]
["#mugiwaraonani", "125.163.114.72"]
["#t4magochii", "110.232.67.124"]
["mzyuuri", "202.67.33.42"]
["gembikong", "36.78.202.16"]
["!anon3283", "36.84.226.79"]
["!anon6533", "114.79.13.151"]
["razerolol", ""]
["rebozter", "36.76.219.132"]
["#lapar", "36.83.177.61"]
["!anon4611", "180.244.233.97"]
["!anon6333", "180.242.8.197"]
["!anon3350", "110.74.192.156"]
["!anon1401", "115.124.74.237"]
["#mantanproggramer", "111.95.169.193"]
["#rikka", "180.254.105.250"]
["septianikonandito", "114.79.29.166"]
["!anon9119", "180.248.199.51"]
["!anon4318", "146.185.31.218"]
["otechi", "49.213.16.113"]
["amirul16", "36.80.182.43"]
["kiriyato001", "180.253.91.61"]
["!anon8532", "101.255.97.54"]
["#animedotttv", "111.95.169.193"]
["andrehanusa5", "36.72.12.124"]
["meikuchan", "180.249.42.68"]
["!anon8330", "36.79.189.44"]
["#lanpek", "36.72.125.83"]
["!anon7276", "180.251.170.214"]
["!anon2517", "180.252.105.149"]
["kongseasdf", ""]
["!anon9568", "125.165.23.13"]
["!anon3314", "36.79.169.172"]
["!anon6510", ""]
["#law", "36.37.222.126"]
["!anon1656", "119.110.76.122"]
["!anon8772", "36.78.202.37"]
["rield17", "36.84.69.184"]
["!anon3656", "36.69.114.77"]
["#wekawekaweka", "36.68.30.230"]
["!anon2229", "180.242.21.205"]
["#asiofuhwoehf", "125.165.99.17"]
["#pop", "36.74.163.241"]
["hayounggie", "36.76.104.102"]
["!anon2388", "36.76.4.51"]
["riobintang", "36.85.38.36"]
["!anon7628", "36.77.56.197"]
["andikaws", "36.82.133.69"]
["#gila", "125.162.58.5"]
["!anon6622", "114.120.233.22"]
["10bubwieser01", "120.60.208.1"]
["!anon4136", "36.71.57.83"]
["faqih3f", "125.160.240.19"]
["!anon2273", "180.253.147.150"]
["hackerandprogrammer", "36.84.69.211"]
["kaitodeluxe", "180.254.159.206"]
["hanzarm", "36.78.100.15"]
["!anon4112", "125.165.4.90"]
["!anon2592", "36.77.61.81"]
["!anon0265", "36.75.188.59"]
["ainsworthrita21", "180.251.253.120"]
["nawangamezz", ""]
["!anon9705", "36.73.67.73"]
["kuzereishi", "36.72.3.226"]
["juliantkj", "111.68.31.186"]
["hunohara", "180.241.183.253"]
["!anon3514", "107.170.145.187"]
["suprecx", "114.121.232.25"]
["!anon3401", "36.80.22.57"]
["#1111", "180.249.42.68"]
["#atan", "188.166.244.33"]
["!anon6889", "222.124.119.140"]
["chentago", "139.195.70.96"]
["initialch", "125.167.113.220"]
["!anon4743", "125.163.146.52"]
["#seyton", "36.83.15.129"]
["!anon5783", "36.79.157.255"]
["toudoukirin", "202.67.39.18"]
["!anon3707", "36.71.115.119"]
["lb0t", "52.7.238.44"]
["!anon0457", "139.193.98.78"]
["o", "109.166.131.28"]
["lomolight", "202.62.16.93"]
["xyp9x", "112.215.63.59"]
["!anon6920", "36.71.173.245"]
["!anon8838", "125.161.20.197"]
["!anon1864", "180.245.132.87"]
["!anon3630", "180.251.15.25"]
["alfiyanto", "202.62.17.202"]
["#assuloesemua", ""]
["iluminesion", "36.83.206.42"]
["!anon5356", "36.69.173.126"]
["bakaneko99", "125.160.205.193"]
["!anon3653", ""]
["ryozaidhi", "180.246.250.103"]
["yuichandesusao", "114.79.36.221"]
["#shiroyasha", "36.76.43.218"]
["sekkki", "36.78.196.205"]
["!anon5627", "36.77.175.21"]
["!anon2085", "36.83.139.174"]
["#087868415416", ""]
["#levi", "180.251.80.43"]
["chewin182", "112.215.124.131"]
["moehloeqman", "180.251.117.119"]
["!anon4039", "180.254.36.209"]
["egiakasaka", "36.72.61.240"]
["!anon8666", "36.68.17.188"]
["!anon7796", "125.162.1.104"]
["#algifari", "110.232.94.157"]
["kyoyaharashi", ""]
["riandesusama", "115.124.76.158"]
["orangmavok44", "202.67.42.39"]
["#mc", "180.249.248.112"]
["#elinayuningthias", "118.136.44.2"]
["hasbyhalim", "139.194.9.197"]
["fz0", "223.255.225.71"]
["!anon7111", "36.83.15.129"]
["bloodymary00", "180.249.10.115"]
["shinochino", ""]
["!anon4344", "125.163.124.157"]
["oppai378", "159.253.145.150"]
["#tamvan", "198.7.58.97"]
["!anon5147", "125.165.98.30"]
["!anon3296", "180.251.30.248"]
["ariakps", "61.94.46.34"]
["!anon2688", "125.161.0.183"]
["!anon8063", "180.245.211.2"]
["reboxter", "36.76.176.255"]
["!anon6355", "180.251.20.155"]
["xanxen", "222.124.114.151"]
["!anon8645", "36.71.214.33"]
["lavnaa", "128.199.166.126"]
["bachol", "150.107.244.72"]
["zikri279", "180.252.108.124"]
["imiywihites", "202.67.42.34"]
["katzeee", "36.80.42.146"]
["fasatrasyid", "36.80.10.185"]
["#afif", "36.83.109.86"]
["sashaandriana", "112.215.64.201"]
["theunknownguest", "99.177.170.153"]
["shirosora02", "202.67.44.24"]
["kiseryouta7", "36.80.98.226"]
["#rikkashinozakki", "180.254.118.44"]
["!anon0832", "36.72.151.32"]
["clay121", "101.255.53.125"]
["!anon3802", "110.137.16.69"]
["!anon2717", "180.249.0.10"]
["!anon0036", "207.244.79.140"]
["!anon3840", "111.95.199.27"]
["mahsao", "180.254.165.121"]
["#elsa", "180.254.37.232"]
["!anon2743", "36.77.56.197"]
["ninosan23", "125.161.130.100"]
["ccs", "112"]
["tomorinao48", "36.72.160.187"]
["#krakatau3", "36.84.66.84"]
["!anon2935", "202.62.16.121"]
["!anon9831", "114.124.25.110"]
["#yusatsu77", "36.72.9.100"]
["kiljoa", "36.84.62.133"]
["#rizqiaf", "36.72.156.98"]
["!anon2855", "118.97.151.178"]
["genhaniel", ""]
["!anon5824", "202.62.16.28"]
["amatsugachi", "36.83.151.52"]
["!anon0449", "36.84.238.39"]
["!anon2289", "180.252.95.79"]
["!anon2708", "36.76.206.142"]
["#adudu", "36.84.70.209"]
["sheilaceil", "202.62.17.161"]
["aditiayuu", "36.85.6.219"]
["!anon0421", "36.69.55.153"]
["#masterlimbad", "207.244.79.155"]
["#assasin", "110.138.79.35"]
["!anon4316", "101.255.51.106"]
["!anon9538", "36.76.194.84"]
["#invitus", "83.10.121.118"]
["#rizkykun", "36.81.86.242"]
["maliodas01", "36.78.144.143"]
["!anon9179", "125.162.56.90"]
["!anon8318", "36.84.97.93"]
["yamatoaoi", "36.78.201.55"]
["!anon7967", "180.242.16.177"]
["kirigayakazuto1228", "36.68.25.50"]
["!anon9866", "114.79.28.133"]
["kuhaku434", ""]
["touhou666", "180.246.59.227"]
["#aniki", "112.215.64.58"]
["!anon3555", "36.84.238.39"]
["!anon5918", "125.161.223.98"]
["doflamingo28", "36.37.222.126"]
["sandalkukeri", "36.81.8.230"]
["!anon6134", "118.97.163.250"]
["!anon2136", "103.47.132.45"]
["!anon9224", "36.68.9.31"]
["#0000", "139.195.39.166"]
["!anon0202", "36.81.182.55"]
["hamim34", "125.165.131.212"]
["!anon1935", "36.79.130.117"]
["!anon0310", "36.68.9.31"]
["#gandengsia", "118.96.220.47"]
["!anon8900", "180.253.95.14"]
["salmatrimaharani", "180.254.136.63"]
["risvananda99", "36.76.173.144"]
["#galau", "36.81.95.137"]
["!anon5480", "128.199.64.134"]
["#keysuke", "125.161.51.79"]
["!anon3665", "180.254.129.221"]
["muhammerz21", "36.76.250.42"]
["isladesu", "180.214.233.4"]
["#nanonano", "115.178.236.228"]
["!anon3968", "36.77.104.51"]
["leogustaa", "180.253.7.172"]
["!anon9135", "112.215.64.49"]
["!anon6811", "128.199.128.202"]
["#empty", "36.71.139.78"]
["!anon0481", "36.85.187.190"]
["!anon8978", "101.255.97.54"]
["#yohkun", "36.79.162.23"]
["#aca", "180.251.137.128"]
["#jono", "36.81.63.197"]
["aleriasusan", "36.72.3.78"]
["!anon7068", "36.74.53.227"]
["!anon0141", "36.69.215.196"]
["!anon8088", "36.68.107.46"]
["!anon2320", "114.79.13.226"]
["!anon0924", ""]
["!anon3068", "125.163.144.173"]
["filmkingdom", "61.94.94.55"]
["!anon3245", "112.215.44.246"]
["!anon1092", "202.67.42.35"]
["#tit", "36.70.102.49"]
["!anon4168", "36.75.103.138"]
["!anon5643", "112.215.64.177"]
["tedos217", "139.194.6.208"]
["askhasd", "180.254.143.213"]
["kyou021", "36.83.31.105"]
["#sinumpanglewat", ""]
["neinra", "114.4.78.70"]
["zhetsi", "180.214.232.7"]
["!anon7857", "125.165.142.124"]
["!anon8658", "180.252.105.158"]
["!anon0748", "36.81.145.236"]
["haphaps454", "36.71.88.178"]
["!anon3892", "36.76.21.54"]
["!anon0876", "115.124.74.237"]
["#jindra", "36.84.238.11"]
["jicen", ""]
["nanadaidie", "180.245.69.166"]
["erikalim", "36.79.140.13"]
["#herry", "36.84.225.123"]
["!anon6230", "36.72.158.62"]
["arif0991", "180.242.7.250"]
["hexelic", "36.84.64.1"]
["!anon8203", "101.255.97.54"]
["dhitofernandhahadi", "5.254.65.215"]
["!anon3174", ""]
["!anon2163", "180.248.46.180"]
["dieq123", "180.245.166.181"]
["#ryderonthestone", "180.250.110.47"]
["!anon0911", "36.72.128.106"]
["#456", "36.83.177.61"]
["!anon6546", "180.254.196.121"]
["bowonk", "36.79.117.255"]
["#alayzzz", "36.77.161.98"]
["!anon3792", "36.72.25.164"]
["!anon8497", "125.165.19.132"]
["ginatsu", "36.77.160.180"]
["!anon4109", "180.254.167.53"]
["#erick716yandexcom", "112.215.44.214"]
["!anon9130", "182.253.163.2"]
["yoseishin", "202.67.44.1"]
["!anon1918", "114.125.44.22"]
["kranelz", "118.137.6.57"]
["!anon8831", "36.77.61.81"]
["sitacho", "36.84.226.25"]
["#jeklay", "180.252.194.196"]
["narusekazama", "125.167.149.60"]
["clashtimes", "36.83.72.37"]
["!anon3648", "36.84.231.208"]
["threedurian", "180.253.252.51"]
["warries", "175.137.38.180"]
["vajryzee", "36.73.34.1"]
["!anon2381", "36.79.126.30"]
["alvi1234331", "125.163.146.240"]
["!anon2833", "36.80.40.14"]
["!anon3944", "36.71.141.20"]
["!anon3677", "36.79.169.172"]
["!anon1187", "36.84.236.135"]
["putrimiku", ""]
["!anon9728", "125.163.173.104"]
["!anon6728", "36.72.189.195"]
["!anon6641", "36.78.69.14"]
["!anon3731", "180.254.85.205"]
["!anon5343", "125.162.157.175"]
["!anon4751", "36.83.46.244"]
["!anon6633", "36.71.174.195"]
["elvatra", "36.72.66.9"]
["nfnarukami", "146.185.31.214"]
["koibito90", "210.186.124.103"]
["!anon3551", "36.72.37.25"]
["takagiakito23", "180.251.194.138"]
["#meimek", "125.167.115.37"]
["!anon9963", "180.253.121.200"]
["!anon1746", ""]
